Index,Organization Id,Name,Website,Country,Description,Founded,Industry,Number of employees,UpdatedAt
1,t6B5A14f5D,Watts-Johnston,http://mathews-lee.com/,Montenegro,Implemented well-modulated Internet solution,1974,Graphic Design / Web Design,5730,1970-10-23 03:51:24.366026
2,t6B5A14f5D,Watts-Johnston Group,http://mathews-lee.com/,Montenegro,Wonder scene purpose early realize seven because.,1974,Graphic Design / Web Design,5730,1982-05-18 01:54:10.213287
3,1wCoK14A0M,Flynn and Sons,http://marquez.info/,Pitcairn Islands,Visionary fault-tolerant model,2020,Food / Beverages,4906,1982-05-18 01:54:10.213287
4,QRuojl39Dm,Robinson Flynn and Potter,http://www.prince.net/,Sweden,Polarized needs-based conglomeration,2005,Law Practice / Law Firms,5995,1977-08-08 23:39:55.170865
5,TQQfhV9iiW,Morse-Short,http://harmon.biz/,Jersey,Configurable analyzing help-desk,2014,Military Industry,7112,1989-10-04 09:24:10.729253
6,6wSyEaBaGK,Branch Macias and Valencia,http://www.norris-raymond.info/,Guyana,Triple-buffered object-oriented budgetary management,1971,Religious Institutions,6306,1980-05-05 05:29:39.881709
7,EhUMb202PG,Weeks Group,http://www.lester.info/,Germany,Function-based real-time flexibility,1992,Aviation / Aerospace,22,1980-09-22 03:34:00.244772
8,lMXeMINLwP,Vincent Ltd,http://www.durham-conrad.com/,Andorra,Networked needs-based productivity,1992,International Trade / Development,2613,2002-06-28 15:07:39.702426
9,1wCoK14A0M,Flynn and Sons USA,http://marquez.info/,Pitcairn Islands,Get present now leave.,2020,Food / Beverages,4906,1988-02-22 22:47:36.256984
10,ZJ3KqVsLEe,Wheeler Inc,https://savage-cannon.com/,Benin,Self-enabling exuding pricing structure,2007,Electrical / Electronic Manufacturing,6730,2012-01-20 15:22:29.930066
11,aNXKZEVbGK,Benjamin Greene and Neal,http://collier-gentry.com/,Guadeloupe,Polarized coherent support,2017,Warehousing,8745,2015-03-27 18:52:08.490210
12,cDzOHnKRJc,Chang-Mcfarland,https://trujillo-kirk.com/,Ecuador,Exclusive multi-tasking knowledgebase,2015,E - Learning,9638,1995-07-20 06:11:24.266135
13,2KUK9Mszr1,Pineda-Hurst,http://sutton.biz/,Lithuania,Customer-focused 6thgeneration collaboration,2015,Public Relations / PR,4284,2023-11-13 11:59:38.976053
14,t6B5A14f5D,Watts-Johnston Nordics,http://mathews-lee.com/,Montenegro,Top clear camera.,1974,Graphic Design / Web Design,5730,2026-06-11 00:13:41.963862
